;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice;Cuadro No. 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BOLIVIA: POBLACIÓN Y DISTRIBUCIÓN PORCENTUAL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(En número y porcentaje);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO/TIOC;ÁREA;TOTAL;;;;;;;;;DISTRIBUCIÓN PORCENTUAL POR SEXO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2001;;;2012;;;2024;;;2001;;;2012;;;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;País;;;;Bolivia;8.274.325;4.123.850;4.150.475;10.059.856;5.019.447;5.040.409;11.365.333;5.682.498;5.682.835;100,0;49,8;50,2;100,0;49,9;50,1;100,0;50,0;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;País;;;;Urbana;5.165.230;2.517.106;2.648.124;6.788.962;3.314.824;3.474.138;7.846.708;3.839.005;4.007.703;100,0;48,7;51,3;100,0;48,8;51,2;100,0;48,9;51,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;País;;;;Rural;3.109.095;1.606.744;1.502.351;3.270.894;1.704.623;1.566.271;3.518.625;1.843.493;1.675.132;100,0;51,7;48,3;100,0;52,1;47,9;100,0;52,4;47,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;Departamento;Chuquisaca;;;Chuquisaca;531.522;260.604;270.918;580.923;285.677;295.246;606.027;299.161;306.866;100,0;49,0;51,0;100,0;49,2;50,8;100,0;49,4;50,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;Departamento;Chuquisaca;;;Urbana;218.126;104.015;114.111;283.123;134.896;148.227;336.345;161.387;174.958;100,0;47,7;52,3;100,0;47,6;52,4;100,0;48,0;52,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;Departamento;Chuquisaca;;;Rural;313.396;156.589;156.807;297.800;150.781;147.019;269.682;137.774;131.908;100,0;50,0;50,0;100,0;50,6;49,4;100,0;51,1;48,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Provincia;Chuquisaca;Oropeza;;Oropeza;241.376;116.072;125.304;287.615;137.888;149.727;319.651;153.758;165.893;100,0;48,1;51,9;100,0;47,9;52,1;100,0;48,1;51,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;Provincia;Chuquisaca;Oropeza;;Urbana;193.876;92.404;101.472;238.798;113.456;125.342;275.959;131.625;144.334;100,0;47,7;52,3;100,0;47,5;52,5;100,0;47,7;52,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;Provincia;Chuquisaca;Oropeza;;Rural;47.500;23.668;23.832;48.817;24.432;24.385;43.692;22.133;21.559;100,0;49,8;50,2;100,0;50,0;50,0;100,0;50,7;49,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;214.913;102.930;111.983;261.622;124.884;136.738;296.746;142.122;154.624;100,0;47,9;52,1;100,0;47,7;52,3;100,0;47,9;52,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;193.876;92.404;101.472;238.798;113.456;125.342;275.959;131.625;144.334;100,0;47,7;52,3;100,0;47,5;52,5;100,0;47,7;52,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;21.037;10.526;10.511;22.824;11.428;11.396;20.787;10.497;10.290;100,0;50,0;50,0;100,0;50,1;49,9;100,0;50,5;49,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
